,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,NZ,99,81,-46.19,168.86,291.48,3.58
1,Saldanha,ZA,0,77,-33.01,17.94,289.15,3.1
2,Busselton,AU,100,21,-33.65,115.33,300.93,5.04
3,Cidreira,BR,77,89,-30.18,-50.21,298.26,8.93
4,Grindavik,IS,75,74,63.84,-22.43,274.15,6.7
5,Ushuaia,AR,75,53,-54.8,-68.3,284.15,8.2
6,Avarua,CK,100,83,-21.21,-159.78,300.15,7.2
7,Fare,PF,73,74,-16.7,-151.02,301.3,5.64
8,Saint-Philippe,RE,75,83,-21.36,55.77,298.15,6.7
9,Syasstroy,RU,84,85,60.14,32.57,276.6,5.7
10,Cordoba,AR,75,93,-31.41,-64.18,291.48,12.3
11,Cape Town,ZA,0,77,-33.93,18.42,292.04,4.1
12,Tucurui,BR,79,93,-3.77,-49.67,296.9,2.76
13,Puerto Ayora,EC,11,82,-0.74,-90.35,298.81,2.48
14,George Town,MY,20,66,5.41,100.34,303.15,2.1
15,Sobolevo,RU,100,93,54.43,31.9,275.69,3.44
16,Thompson,CA,5,69,55.74,-97.86,248.15,2.1
17,Hobart,AU,75,42,-42.88,147.33,294.26,5.7
18,Port Moresby,PG,40,63,-9.44,147.18,306.15,5.1
19,Vao,NC,77,80,-22.67,167.48,299.39,8.55
20,Cagdianao,PH,0,71,9.92,125.67,301.15,5.0
21,Saskylakh,RU,100,92,71.92,114.08,257.89,3.6
22,Mount Isa,AU,0,17,-20.73,139.5,312.15,3.6
23,Mabaruma,GY,36,98,8.2,-59.78,295.32,1.09
24,Srikakulam,IN,0,65,18.3,83.9,298.65,1.57
25,Muros,ES,20,100,42.78,-9.06,283.15,1.0
26,Venustiano Carranza,MX,5,25,19.43,-99.1,295.15,5.1
27,New Norfolk,AU,75,42,-42.78,147.06,293.71,5.7
28,Sao Filipe,CV,66,62,14.9,-24.5,296.08,8.67
29,Upernavik,GL,100,90,72.79,-56.15,256.31,0.58
30,Grand-Lahou,CI,0,85,5.14,-5.02,300.89,6.45
31,Sumbe,AO,21,84,-11.21,13.84,295.83,0.94
32,Mahebourg,MU,40,83,-20.41,57.7,299.15,2.6
33,Mola di Bari,IT,5,93,41.06,17.09,279.82,1.0
34,Jamestown,US,90,51,42.1,-79.24,277.59,3.1
35,Luderitz,NA,0,82,-26.65,15.16,290.15,4.1
36,Guigue,VE,42,90,10.09,-67.78,293.77,2.03
37,Chui,UY,65,91,-33.7,-53.46,298.18,6.22
38,Rikitea,PF,100,77,-23.12,-134.97,299.5,6.2
39,Chokurdakh,RU,96,97,70.63,147.92,253.71,1.96
40,Mar del Plata,AR,87,94,-38.0,-57.56,293.71,4.1
41,Bariloche,AR,0,82,-41.15,-71.31,284.15,7.7
42,Crotone,IT,35,75,39.09,17.12,282.2,1.23
